0.2326764 0.2837791 0.347079 0.4606864 0.6543134 0.850644 0.9854316 1.041069 1.023655 0.9555969 0.8609097 0.7304515 0.5626857 0.3680535 0.1720216 0.08128296 0.04106882 0.04690146 0.08195828 0.2197361|0.5 0.3423002 0.1879047 0.05807617 0.013565 0.03285394 0.1447693 0.3000887 0.4615455 0.6150864 0.7577333 0.8805864 0.9706966 1.013565 0.9980514 0.8555148 0.6960369 0.533462 0.3729669 0.2651969|0.4879501 0.4475142 0.4003724 0.4484516 0.4052999 0.4150314 0.4281556 0.4506952 0.4731385 0.4634891 0.4582243 0.456056 0.9529275 0.3527934 0.4490887 0.4549794 0.471481 0.3898726 0.1531164 0.4413627#1 0 0 0 0 0
0.03562921 0.02459705 0.1171426 0.2505905 0.4101863 0.6137695 0.8094659 0.9452251 1.021878 1.024597 0.9960288 0.9420944 0.8613847 0.7346233 0.547999 0.3237058 0.1331091 0.04457471 0.05427859 0.1091203|0.5 0.6263576 0.7473154 0.8564705 0.9527981 1.005999 0.946381 0.8386681 0.712767 0.5787881 0.4459418 0.3157829 0.1916826 0.0798692 0.005999451 0.02975977 0.1025133 0.2234168 0.3556973 0.4837916|0.1178045 0.03694002 0.02268821 0.04574646 0.08774594 0.05968238 0.05621279 0.08381075 0.03694199 0.02880921 0.02925144 0.0431858 0.05505588 -0.4232174 0.04123764 0.09136967 0.1122498 0.05272745 0.2201664 0.2015912#1 0 0 0 0 0
0.07412924 0.02709268 0.05627173 0.1371196 0.2742581 0.4238071 0.5606525 0.6874037 0.8058425 0.9188626 1.018327 1.027093 0.923475 0.7970736 0.6435104 0.5032766 0.3897242 0.2966323 0.225769 0.2096799|0.5 0.3502373 0.1997829 0.06490418 0.00705487 0.063857 0.1495179 0.2479023 0.3560935 0.469567 0.5939613 0.7465279 0.8661363 0.9655953 1.007055 0.9349142 0.8224588 0.6946896 0.5531769 0.4065681|0.4210784 0.4445463 0.3994736 0.378696 0.4687573 0.4839629 0.4872435 0.4924898 0.4826668 0.4017864 0.3772468 0.4697226 0.4358646 0.8824126 0.4513913 0.4744409 0.4736745 0.4435083 0.3286526 0.2023848#1 0 0 0 0 0
0.008297089 0.03844855 0.1212645 0.2378508 0.399871 0.5757744 0.7434641 0.8807197 0.9721199 1.008297 0.9938629 0.9383155 0.8442978 0.6956341 0.5219934 0.3516814 0.2305192 0.1629817 0.1365091 0.138098|0.5000001 0.661329 0.8059733 0.9271321 0.9816287 0.9794046 0.9337409 0.8313433 0.693528 0.535811 0.3720024 0.2168156 0.07862759 -0.003411835 -0.01837134 0.01943109 0.1360084 0.2867453 0.4491114 0.613151|0.05335313 0.0391803 0.07641978 0.05365315 0.04030129 0.05969828 0.05478638 0.05731551 0.04987423 0.04071834 0.04037658 0.07466175 0.06657761 -0.4515598 0.0871685 0.06102814 0.04131822 0.02726418 0.1343486 0.3935158#1 0 0 0 0 0
0.01003995 0.1014062 0.2063319 0.3232293 0.4477039 0.5750322 0.7030699 0.8250214 0.9353051 1.01004 0.9780787 0.8658463 0.7525885 0.6356597 0.5130848 0.3870209 0.2672372 0.1902529 0.1403879 0.1326632|0.5000001 0.3427946 0.2148243 0.1227863 0.06368713 0.03520978 0.05670911 0.1284874 0.2403595 0.4199555 0.6074158 0.7174305 0.8244469 0.9188665 0.9885497 1.03521 0.9802198 0.803291 0.5978618 0.4018946|0.4744879 0.4654551 0.4643976 0.4644695 0.4385035 0.44181 0.4585294 0.4388978 0.4103632 0.4002888 0.4970797 0.4876217 0.474159 0.4741473 0.8750838 0.3838149 0.4725813 0.4683708 0.3511234 0.05881532#1 0 0 0 0 0
0.03928638 0.03691815 0.149809 0.3389547 0.5393583 0.7334377 0.9005325 1.002553 1.036918 1.030749 0.9182644 0.7501346 0.5498092 0.3570129 0.2258877 0.1659209 0.1501381 0.1837017 0.3461009 0.5445125|0.5 0.6965467 0.8475915 0.9115836 0.9308134 0.884559 0.7744694 0.6102684 0.4166001 0.2205169 0.05889831 -0.04527356 -0.06918664 -0.0262663 0.1211503 0.3093798 0.5060648 0.6972623 0.8095933 0.8454286|0.1040687 0.09592723 0.03669648 0.0524614 0.05548235 0.06880029 0.06053071 0.0329558 0.09176545 0.06494573 0.06937438 -0.4462284 0.09943549 0.06661576 0.03634224 0.0404008 0.1260335 0.06787106 0.4329918 0.3435292#1 0 0 0 0 0
-0.04568945 0.07822839 0.2032292 0.3280655 0.4519411 0.5747501 0.6940722 0.7475296 0.8034272 0.8714824 0.9543105 0.9315165 0.8021975 0.6779518 0.5495768 0.4203183 0.3490205 0.2835705 0.2043893 0.1201124|0.5 0.5884937 0.6752451 0.7622676 0.8508313 0.941103 1.005009 0.856115 0.7082365 0.5668107 0.4342223 0.3316562 0.2527993 0.164958 0.08406146 0.005009155 0.1105554 0.2538256 0.3886281 0.5201723|0.002141492 0.4996689 0.4981044 0.4979012 0.02262671 0.2733968 0.4973422 0.4861366 0.4825117 0.1236742 0.1280446 0.4892059 0.008452055 0.002133827 -0.2571952 0.02635334 0.4836747 0.4938411 0.3214162 0.4205693#0 1 0 0 0 0
0.0841922 0.1696888 0.2493735 0.3086186 0.3764913 0.5237558 0.666808 0.8066665 0.9416159 0.9813453 0.8958486 0.8124764 0.7429421 0.6758237 0.6079659 0.4804329 0.353057 0.231104 0.1104484 -0.01865479|0.5 0.3788054 0.2547689 0.1221244 0.01280972 0.06877503 0.1336092 0.2034089 0.2808167 0.3805045 0.5016991 0.6240631 0.7529622 0.8830425 1.01281 0.9580452 0.8710566 0.7779998 0.6836225 0.5990763|0.006897637 0.02402811 0.478422 0.2806317 0.4900761 0.4940512 0.4907882 0.3932446 0.3418605 0.002590653 0.01645514 0.002921879 0.4991298 0.7621295 0.4691918 0.4916242 0.4980916 0.01336922 -0.2856946 0.530191#0 1 0 0 0 0
-0.03561267 0.04536261 0.1375456 0.2274512 0.3237064 0.4304311 0.5331051 0.6351368 0.7407281 0.8479045 0.955476 0.9643873 0.8793972 0.7853479 0.6825265 0.5714887 0.466541 0.3670159 0.2692949 0.172766|0.5 0.6407716 0.7646507 0.8927481 1.008405 0.9760934 0.8738894 0.7701293 0.6754463 0.5852788 0.4963712 0.3647947 0.2291706 0.1094026 0.008405212 0.009989045 0.1060174 0.2153149 0.3286967 0.4444246|0.01873815 0.4955804 0.01307099 0.1863204 0.07784556 0.001701922 0.4900032 0.4949764 0.4986105 0.1293105 0.09985624 0.01685421 0.02047641 -0.3741542 0.1156713 0.01450133 0.004342824 0.002571301 0.4021249 0.2915977#0 1 0 0 0 0
0.07912076 0.2059038 0.3315265 0.4561477 0.5768024 0.6900004 0.8050495 0.9088516 0.9985517 0.9752594 0.8536274 0.7395591 0.6271572 0.5219337 0.418327 0.3263212 0.2443788 0.1624364 0.08049402 -0.001448334|0.5000001 0.4095721 0.3167784 0.2223517 0.1214575 0.01024286 0.07902215 0.2013168 0.3371747 0.4447288 0.5441071 0.6540718 0.7665271 0.8874322 1.010243 0.9835116 0.8412532 0.6989947 0.5567362 0.4144778|0.002649611 0.001942695 0.007643228 0.01275139 0.2906509 0.4477672 0.4808629 0.3731825 0.3929715 0.01305663 0.002952729 0.01098169 0.002447295 0.8165312 0.3781753 0 0 0 0.03708178 0.2283514#0 1 0 0 0 0
